measurment,Non Default,Default,accuracy,macro avg,weighted avg
precision,0.8761713520749665,0.36447978793903246,0.6702666666666667,0.6203255700069995,0.7632580802556371
recall,0.6718562874251497,0.6646525679758308,0.6702666666666667,0.6682544277004903,0.6702666666666667
f1-score,0.7605306478164036,0.4707896426278622,0.6702666666666667,0.6156601452221329,0.6965944660047988
support,5845.0,1655.0,0.6702666666666667,7500.0,7500.0
