measurement,baseline,alternate model
test accuracy,0.6702666666666667,0.7004
train accuracy,0.6709333333333334,0.6952
test recall,0.6646525679758308,0.6253776435045317
test precision,0.36447978793903246,0.3888054094665665
auc score,0.7208141334939099,0.7152268445413877
