measurment,Non Default,Default,accuracy,macro avg,weighted avg
precision,0.8718478710210831,0.3888054094665665,0.7004,0.6303266402438248,0.7652565011713863
recall,0.7216424294268605,0.6253776435045317,0.7004,0.6735100364656961,0.7004
f1-score,0.7896658242066835,0.4794996525364837,0.7004,0.6345827383715836,0.7212224889914595
support,5845.0,1655.0,0.7004,7500.0,7500.0
